Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
3660 Opglabbeek,Apartment,Apartment,185000.0,for sale,2.0,93.0,,,,1.0,,0.0,,,,,,
2900 Schoten,House,Villa,1595000.0,for sale,11.0,798.0,,0.0,,1.0,100.0,1.0,1500.0,2172.0,,4.0,,Normal
3680 Maaseik,House,Mixed Building,445000.0,for sale,3.0,110.0,,,,1.0,,,,785.0,,4.0,,
4851 Gemmenich,House,Residence,465989.0,for sale,4.0,125.0,,,,1.0,,1.0,452.0,,,,,
3700 Tongeren,House,Residence,558000.0,for sale,4.0,230.0,,,,1.0,16.0,1.0,1050.0,,,4.0,,Normal
3550 Heusden Zolder,House,Residence,179000.0,for sale,3.0,360.0,,0.0,,1.0,,0.0,,,,3.0,,To restore
2800 Mechelen,House,Residence,420000.0,for sale,4.0,150.0,,0.0,,1.0,,1.0,,173.0,,2.0,,Normal
7331 Baudour,House,Residence,185000.0,for sale,,119.0,,,0.0,1.0,,1.0,,310.0,,,,Excellent
7500 Tournai,Apartment,Apartment,365000.0,for sale,3.0,125.0,,0.0,,1.0,,0.0,,,,,,Normal
4420 Saint Nicolas,House,Residence,70000.0,for sale,1.0,75.0,,,,1.0,1.0,1.0,302.0,365.0,,3.0,0.0,To be renovated
8530 Harelbeke,Apartment,Apartment,299000.0,for sale,2.0,83.0,,0.0,,1.0,,1.0,,,,2.0,,Normal
6800 Libramont Chevigny,House,Residence,285000.0,for sale,4.0,160.0,,0.0,,0.0,,0.0,,335.0,,3.0,,Normal
6740 Etalle,House,Residence,270000.0,for sale,4.0,375.0,,0.0,,0.0,,1.0,,220.0,,3.0,,To be renovated
4000 Liege,Apartment,Apartment,280000.0,for sale,3.0,172.0,0.0,0.0,,1.0,,0.0,,,,,,To renovate
3078 Everberg,House,Residence,579000.0,for sale,3.0,132.0,,0.0,0.0,1.0,,0.0,,,,,,Excellent
8400 Oostende,Apartment,Apartment,225000.0,for sale,2.0,88.0,,,,1.0,6.0,0.0,,,,,,To be renovated
1030 Schaarbeek,House,Residence,479000.0,for sale,3.0,199.0,,,,1.0,,1.0,,,,1.0,,Excellent
1820 Steenokkerzeel,House,Residence,495000.0,for sale,2.0,175.0,,,,0.0,,1.0,,412.0,,2.0,,
7012 Jemappes,House,Villa,321050.0,for sale,3.0,,,,,,,,,1260.0,,4.0,,New
3200 Aarschot,Apartment,Apartment,239000.0,for sale,2.0,84.0,,0.0,,1.0,,0.0,,,,,,Normal
4000 Liege,Apartment,Apartment,95000.0,in public sale,2.0,,,,,0.0,,0.0,,,,,,To be renovated
5540 Hastiere,House,Residence,99000.0,for sale,2.0,68.0,,1.0,0.0,1.0,55.0,1.0,940.0,,,,,To be renovated
6980 La Roche En Ardenne,House,Residence,225000.0,for sale,3.0,283.0,,0.0,,1.0,,0.0,,138.0,,,,
4020 Liege,House,Residence,139000.0,for sale,6.0,146.0,0.0,0.0,,0.0,,0.0,,65.0,,2.0,0.0,To renovate
2140 Borgerhout,Apartment,Apartment,239000.0,for sale,2.0,84.0,,0.0,,0.0,,1.0,,,,2.0,,To be renovated
8770 Ingelmunster,House,Cottage,,for sale,5.0,660.0,,,,0.0,,1.0,,2814.0,,,,Excellent
9340 Lede,House,Residence,462017.0,for sale,4.0,183.0,,,,,,,,500.0,,3.0,,New
7333 Tertre,House,Residence,110000.0,for sale,2.0,81.0,,,,1.0,,1.0,159.0,282.0,,2.0,,To renovate
4400 Flemalle Haute,House,Residence,240000.0,for sale,2.0,,,,,1.0,,0.0,,176.0,,2.0,,
4101 Jemeppe,Apartment,Apartment,256000.0,for sale,3.0,120.0,1.0,0.0,,1.0,15.0,0.0,,,,2.0,0.0,New
4590 Ouffet,House,Residence,601349.0,for sale,3.0,255.0,,,,,,1.0,,2431.0,,4.0,,New
8370 Blankenberge,Apartment,Apartment,120000.0,for sale,1.0,57.0,,,,0.0,,0.0,,,,2.0,,Excellent
1410 Waterloo,Apartment,Apartment,275000.0,for sale,1.0,55.0,0.0,0.0,,1.0,10.0,0.0,,,,2.0,,Normal
5080 La Bruyere,House,Residence,315000.0,for sale,3.0,128.0,1.0,,,1.0,7.0,1.0,833.0,833.0,,4.0,0.0,Normal
1180 Ukkel,Apartment,Apartment,300000.0,for sale,2.0,85.0,,,,0.0,,0.0,,,,2.0,,
3440 Budingen,House,Residence,339000.0,for sale,3.0,260.0,,,,0.0,,1.0,,804.0,,4.0,,To be renovated
9040 Sint Amandsberg,House,Residence,360000.0,for sale,3.0,102.0,,0.0,,1.0,,1.0,90.0,145.0,,2.0,,Normal
1140 Evere,Apartment,Apartment,469000.0,for sale,2.0,117.0,,,,1.0,45.0,,,,,4.0,0.0,New
4680 Oupeye,Apartment,Apartment,299000.0,for sale,2.0,157.0,0.0,0.0,,1.0,6.0,0.0,,,,2.0,0.0,Excellent
2250 Olen,House,Residence,380000.0,for sale,3.0,184.0,,0.0,,1.0,29.0,1.0,35.0,,,,,New
