property_type,subtype,price_eur,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,num_bathrooms,dist_train_km,dist_bus_km,postal_code,wallonie_bx,building_state
House,Residence,119000.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,0.0,2.0,4.3,0.334,4460,1,3.0
House,Residence,225000.0,5.0,269.0,0.0,0.0,1.0,0.0,1.0,0.0,260.0,2.0,0.0,1.0,0.168,0.117,8600,0,9.0
House,Residence,1165000.0,4.0,340.0,1.0,0.0,1.0,35.0,1.0,0.0,19000.0,4.0,0.0,2.0,3.6,0.187,1440,1,9.0
Apartment,Apartment,327600.0,2.0,116.0,1.0,0.0,1.0,25.0,1.0,27.0,0.0,2.0,0.0,1.0,2.6,0.061,4681,1,10.0
Apartment,Apartment,229000.0,3.0,126.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.707469745444429,0.0,2.0,9.5,0.196,9990,0,5.0
Apartment,Apartment,135000.0,1.0,67.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.891,0.005,4000,1,5.0
House,Residence,700000.0,5.0,301.0,1.0,0.0,1.0,6.0,1.0,50.0,188.0,2.0,0.0,2.0,3.4,0.064,1150,1,4.0
Apartment,Apartment,275000.0,3.0,106.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,0.813,0.145,1080,1,5.0
House,Mixed Building,695000.0,3.0,223.0,0.0,0.0,1.0,20.0,1.0,84.0,180.0,2.0,0.0,3.0,0.652,0.079,1030,1,4.0
Apartment,Apartment,249000.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.4,0.246,1080,1,6.0
House,Residence,447329.0,3.0,150.0,0.0,0.0,1.0,0.0,1.0,332.0,0.0,2.707469745444429,0.0,2.0,0.942,0.135,4728,1,5.0
House,Residence,2550000.0,3.0,428.0,0.0,0.0,1.0,0.0,1.0,0.0,1357.0,2.707469745444429,0.0,4.0,11.5,3.4,8420,0,9.0
House,Residence,379000.0,3.0,105.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,3.0,0.0,1.0,0.762,0.149,1020,1,9.0
Apartment,Apartment,235000.0,1.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,9.2,0.224,8620,0,8.0
House,Residence,327000.0,3.0,143.0,0.0,0.0,0.0,0.0,1.0,227.0,419.0,3.0,0.0,2.0,1.8,1.3,3970,0,10.0
Apartment,Apartment,274000.0,2.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,1.0,1.4,0.654,1731,0,6.0
House,Residence,265000.0,3.0,115.0,0.0,0.0,1.0,0.0,1.0,0.0,194.0,2.0,0.0,1.0,4.9,0.713,2235,0,6.0
Apartment,Apartment,299000.0,3.0,103.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.7,0.254,9000,0,5.0
House,Residence,259000.0,4.0,194.0,1.0,0.0,1.0,36.0,1.0,691.0,858.0,2.0,0.0,2.0,1.1,0.031,4300,1,4.0
House,Residence,493750.0,5.0,216.0,0.0,0.0,1.0,0.0,1.0,0.0,652.0,3.0,0.0,2.0,2.8,0.326,3590,0,10.0
House,Residence,380000.0,3.0,194.0,1.0,0.0,1.0,0.0,1.0,0.0,308.0,3.0,0.0,2.0,10.4,0.34,8470,0,10.0
Apartment,Apartment,229000.0,1.0,66.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.731,0.356,2018,0,6.0
House,Residence,320000.0,4.0,180.0,1.0,0.0,1.0,30.0,1.0,450.0,630.0,2.0,0.0,1.0,1.4,0.022,7712,1,6.0
Apartment,Ground Floor,220000.0,2.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.707469745444429,0.0,2.0,1.1,0.162,8380,0,5.0
House,Mixed Building,650000.0,4.0,250.0,0.0,0.0,1.0,20.0,1.0,50.0,230.0,2.0,0.0,4.0,3.8,0.131,1430,1,6.0
