locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building,num_bathrooms,dist_train_km,dist_bus_km,price_per_m2,postal_code,region,outlier_flag,avg_price_locality,building_state_encoded
9120 Beveren,Apartment,Apartment,477500.0,for sale,2.0,145.0,0.0,,1.0,84.0,1.0,,,,0.0,,1.0,1.2,0.415,3293.1,9120,Flanders,False,359352.6,
2860 Sint-Katelijne-Waver,Apartment,Apartment,165000.0,for sale,1.0,65.0,0.0,0.0,1.0,3.0,0.0,0.0,,,0.0,Normal,1.0,2.5,0.031,2538.46,2860,Flanders,False,541000.0,5.0
9500 Geraardsbergen,Apartment,Penthouse,219000.0,for sale,2.0,69.0,0.0,0.0,1.0,11.0,0.0,0.0,,2.0,0.0,Normal,1.0,1.3,0.232,3173.91,9500,Flanders,False,349010.6,5.0
4340 Awans,Apartment,Apartment,199000.0,for sale,1.0,75.0,1.0,0.0,1.0,20.0,1.0,50.0,,,0.0,Excellent,1.0,4.0,0.121,2653.33,4340,Wallonia,False,232000.0,8.0
2600 Berchem,Apartment,Apartment,275000.0,for sale,2.0,123.0,0.0,0.0,1.0,,0.0,0.0,,3.0,0.0,Normal,2.0,0.742,0.088,2235.77,2600,Flanders,False,363194.4,5.0
8301 Duinbergen,Apartment,Studio,355000.0,for sale,1.0,35.0,0.0,,1.0,,1.0,,,3.0,0.0,,,0.92,0.397,10142.86,8301,Flanders,False,652883.0,
3053 Haasrode,House,Residence,695000.0,for sale,4.0,243.0,1.0,0.0,1.0,,1.0,,932.0,3.0,0.0,,,4.6,0.042,2860.08,3053,Flanders,False,574833.3,
1325 Bonlez,House,Residence,449000.0,for sale,2.0,136.0,0.0,0.0,0.0,0.0,1.0,,2307.0,4.0,0.0,,1.0,6.1,0.027,3301.47,1325,Wallonia,False,512000.0,
4620 Fléron,House,Residence,319000.0,for sale,4.0,167.0,1.0,0.0,1.0,40.0,1.0,110.0,274.0,2.0,0.0,Normal,2.0,5.5,0.044,1910.18,4620,Wallonia,False,235750.0,5.0
2060 Antwerp,Apartment,Apartment,159000.0,for sale,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,To be renovated,1.0,1.0,0.601,2789.47,2060,Flanders,False,289943.8,4.0
7500 Tournai,Apartment,Apartment,315000.0,for sale,2.0,132.0,0.0,0.0,1.0,,0.0,0.0,,3.0,0.0,Normal,1.0,0.972,0.092,2386.36,7500,Wallonia,False,319536.1,5.0
3500 Hasselt,House,Residence,475000.0,for sale,2.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,,1.0,Normal,,0.492,0.493,2714.29,3500,Flanders,False,399673.5,5.0
9000 Gent,Apartment,Loft,835000.0,for sale,3.0,199.0,0.0,0.0,1.0,15.0,1.0,,,,0.0,New,,1.8,0.547,4195.98,9000,Flanders,False,455712.0,9.0
6040 Jumet,House,Residence,230000.0,for sale,6.0,385.0,0.0,,1.0,,1.0,600.0,,3.0,1.0,To renovate,,2.8,0.039,597.4,6040,Wallonia,False,197062.2,3.0
8420 De Haan,Apartment,Ground Floor,95000.0,for sale,2.0,95.0,1.0,0.0,1.0,5.0,0.0,0.0,,1.0,0.0,Normal,,8.2,0.748,1000.0,8420,Flanders,False,391789.1,5.0
1180 Ukkel,Apartment,Penthouse,450000.0,for sale,2.0,93.0,0.0,0.0,1.0,38.0,0.0,0.0,,2.0,0.0,Excellent,1.0,0.847,0.137,4838.71,1180,Brussels,False,789638.4,8.0
1050 Elsene,Apartment,Apartment,325000.0,for sale,1.0,66.0,0.0,,1.0,22.0,0.0,0.0,,,0.0,Normal,,0.85,0.355,4924.24,1050,Brussels,False,771126.3,5.0
